bigram,freq,prob
md,8023,0.00061968
ok,8019,0.00061937
pf,7897,0.00060995
lm,7829,0.00060469
go,7815,0.00060361
bt,7768,0.00059998
zw,7741,0.0005979
dt,7700,0.00059473
dw,7699,0.00059465
tp,7683,0.00059342
lf,7529,0.00058153
ex,7365,0.00056886
tk,7339,0.00056685
za,7196,0.00055581
up,7160,0.00055303
ks,7149,0.00055218
ua,7042,0.00054392
sn,6977,0.0005389
db,6882,0.00053156
ln,6833,0.00052777
gn,6797,0.00052499
hb,6547,0.00050569
uk,6495,0.00050167
pu,6453,0.00049843
iz,6447,0.00049796
pt,6361,0.00049132
aa,6335,0.00048932
dm,6297,0.00048638
ip,6273,0.00048453
mg,6266,0.00048399
sr,6191,0.00047819
va,6157,0.00047557
ml,5923,0.0004575
lk,5748,0.00044398
gm,5731,0.00044267
mf,5680,0.00043873
qu,5657,0.00043695
ov,5653,0.00043665
dg,5603,0.00043278
gb,5579,0.00043093
nj,5570,0.00043024
gh,5561,0.00042954
hk,5533,0.00042738
ps,5490,0.00042406
df,5477,0.00042305
dh,5451,0.00042105
dn,5395,0.00041672
dv,5392,0.00041649
hg,5319,0.00041085
lz,5248,0.00040537
mw,5205,0.00040205
ph,5183,0.00040035
av,5072,0.00039178
oa,5071,0.0003917
gv,5020,0.00038776
hh,5013,0.00038722
fs,4938,0.00038143
gg,4924,0.00038035
lc,4891,0.0003778
ys,4748,0.00036675
gk,4682,0.00036166
ay,4663,0.00036019
dk,4644,0.00035872
ju,4502,0.00034776
mk,4454,0.00034405
hf,4443,0.0003432
dp,4364,0.0003371
az,4249,0.00032822
tc,4243,0.00032775
mh,4005,0.00030937
gw,3986,0.00030791
lv,3946,0.00030482
gf,3943,0.00030459
hz,3880,0.00029972
ui,3873,0.00029918
ww,3825,0.00029547
lw,3815,0.0002947
mv,3761,0.00029053
rj,3752,0.00028984
lp,3744,0.00028922
lh,3731,0.00028821
oi,3717,0.00028713
hv,3673,0.00028373
ci,3672,0.00028366
oe,3618,0.00027949
ty,3607,0.00027864
ae,3432,0.00026512
sy,3371,0.00026041
fg,3327,0.00025701
mn,3321,0.00025655
ej,3317,0.00025624
zo,3265,0.00025223
iu,3251,0.00025114
ct,3246,0.00025076
gz,3217,0.00024852
oz,3180,0.00024566
dz,3049,0.00023554
cl,3014,0.00023284
bb,2993,0.00023122
bd,2975,0.00022983
tj,2955,0.00022829
uv,2924,0.00022589
km,2916,0.00022527
cr,2913,0.00022504
kn,2822,0.00021801
ly,2792,0.0002157
mr,2789,0.00021547
jo,2770,0.000214
lr,2751,0.00021253
zb,2731,0.00021099
bg,2727,0.00021068
bn,2664,0.00020581
sj,2662,0.00020566
fn,2636,0.00020365
xt,2613,0.00020187
zl,2593,0.00020033
ii,2540,0.00019624
ry,2531,0.00019554
yo,2529,0.00019539
aw,2511,0.000194
cm,2473,0.00019106
dc,2472,0.00019098
bh,2460,0.00019006
hp,2431,0.00018782
mz,2427,0.00018751
ws,2401,0.0001855
ye,2396,0.00018511
fb,2361,0.00018241
xi,2319,0.00017917
cu,2293,0.00017716
kd,2236,0.00017276
ey,2216,0.00017121
gp,2212,0.00017091
ax,2193,0.00016944
kf,2176,0.00016812
yp,2159,0.00016681
uz,2139,0.00016527
kb,2103,0.00016249
ya,2073,0.00016017
uw,2055,0.00015878
kg,1990,0.00015376
zd,1990,0.00015376
ym,1987,0.00015353
wn,1979,0.00015291
uu,1922,0.00014851
zs,1899,0.00014673
kw,1885,0.00014565
cc,1863,0.00014395
pd,1854,0.00014326
eq,1831,0.00014148
bw,1830,0.0001414
by,1829,0.00014133
fm,1826,0.0001411
bm,1808,0.00013971
mj,1806,0.00013955
ny,1801,0.00013916
kk,1795,0.0001387
mc,1732,0.00013384
fz,1731,0.00013376
bz,1701,0.00013144
xp,1682,0.00012997
oj,1680,0.00012982
yl,1674,0.00012936
kh,1615,0.0001248
fh,1595,0.00012326
cs,1537,0.00011878
yt,1531,0.00011831
ox,1531,0.00011831
zg,1527,0.000118
dy,1501,0.000116
yd,1496,0.00011561
iw,1496,0.00011561
dj,1492,0.0001153
fw,1476,0.00011407
bf,1472,0.00011376
xe,1453,0.00011229
kz,1450,0.00011206
zz,1388,0.00010727
kp,1368,0.00010572
wh,1367,0.00010565
yb,1359,0.00010503
yc,1341,0.00010364
hj,1339,0.00010349
pc,1336,0.00010325
hy,1292,9.986e-05
yn,1289,9.962e-05
my,1286,9.939e-05
ix,1281,9.901e-05
pw,1264,9.769e-05
ao,1250,9.661e-05
cd,1249,9.653e-05
fk,1242,9.599e-05
xc,1241,9.592e-05
hc,1164,8.997e-05
zf,1157,8.943e-05
zk,1152,8.904e-05
zm,1152,8.904e-05
kv,1150,8.889e-05
fv,1109,8.572e-05
fp,1091,8.433e-05
vu,1078,8.333e-05
aj,1041,8.047e-05
fc,1033,7.985e-05
gc,1027,7.939e-05
zv,1008,7.792e-05
uo,996,7.7e-05
yr,988,7.638e-05
yi,986,7.622e-05
ij,963,7.445e-05
ux,955,7.383e-05
