Planet,Mass (kg),Volume (km³)
Mercury,3.3011e23,6.083e10
Venus,4.8675e24,9.2843e11
Earth,5.97237e24,1.08321e12
Mars,6.4171e23,1.6318e11
Jupiter,1.89813e27,1.43128e15
Saturn,5.6834e26,8.2713e14
Uranus,8.6810e25,6.833e13
Neptune,1.02413e26,6.254e13
