Date,AAPL Closing Prices
2020-01-21,76.7272720336914
2020-01-22,77.00116729736328
2020-01-23,77.37198638916016
2020-01-24,77.14899444580078
2020-01-27,74.88040924072266
2020-01-28,76.99872589111328
2020-01-29,78.61048889160156
2020-01-30,78.4965591430664
2020-01-31,75.0161361694336
2020-02-03,74.81012725830078
2020-02-04,77.2798843383789
2020-02-05,77.9100570678711
2020-02-06,78.82135772705078
2020-02-07,77.74995422363281
2020-02-10,78.1192398071289
2020-02-11,77.64791107177734
2020-02-12,79.49188232421875
2020-02-13,78.92581176757812
2020-02-14,78.94525909423828
2020-02-18,77.49971771240234
2020-02-19,78.62213897705078
2020-02-20,77.81554412841797
2020-02-21,76.05420684814453
2020-02-24,72.44158935546875
2020-02-25,69.98785400390625
2020-02-26,71.09810638427734
2020-02-27,66.45053100585938
2020-02-28,66.41168212890625
2020-03-02,72.5946273803711
2020-03-03,70.28910064697266
2020-03-04,73.5494384765625
2020-03-05,71.1636962890625
2020-03-06,70.21863555908203
2020-03-09,64.6648941040039
2020-03-10,69.3221664428711
2020-03-11,66.91456604003906
2020-03-12,60.30644607543945
2020-03-13,67.53165435791016
2020-03-16,58.84391403198242
2020-03-17,61.43128967285156
2020-03-18,59.92745590209961
2020-03-19,59.46828079223633
2020-03-20,55.69291687011719
2020-03-23,54.50975799560547
2020-03-24,59.978477478027344
2020-03-25,59.648067474365234
2020-03-26,62.78692626953125
2020-03-27,60.18741226196289
2020-03-30,61.905029296875
2020-03-31,61.77870178222656
2020-04-01,58.52808380126953
2020-04-02,59.50472640991211
2020-04-03,58.649566650390625
2020-04-06,63.7659912109375
2020-04-07,63.027427673339844
2020-04-08,64.6406021118164
2020-04-09,65.10704803466797
2020-04-13,66.38496398925781
2020-04-14,69.73759460449219
2020-04-15,69.10108184814453
2020-04-16,69.6501235961914
2020-04-17,68.7051010131836
2020-04-20,67.27898406982422
2020-04-21,65.19937133789062
2020-04-22,67.07734680175781
2020-04-23,66.81739044189453
2020-04-24,68.74639892578125
2020-04-27,68.79497528076172
2020-04-28,67.67984771728516
2020-04-29,69.9028091430664
2020-04-30,71.37747955322266
2020-05-01,70.22835540771484
2020-05-04,71.22200012207031
2020-05-05,72.29096984863281
2020-05-06,73.03682708740234
2020-05-07,73.79237365722656
2020-05-08,75.54874420166016
2020-05-11,76.737548828125
2020-05-12,75.86055755615234
2020-05-13,74.94461822509766
2020-05-14,75.405029296875
2020-05-15,74.95922088623047
2020-05-18,76.7253646850586
2020-05-19,76.28199768066406
2020-05-20,77.76554107666016
2020-05-21,77.18577575683594
2020-05-22,77.68272399902344
2020-05-26,77.15653991699219
2020-05-27,77.4926986694336
2020-05-28,77.52679443359375
2020-05-29,77.45128631591797
2020-06-01,78.4037857055664
2020-06-02,78.7667465209961
2020-06-03,79.20037078857422
2020-06-04,78.51827239990234
2020-06-05,80.75457000732422
2020-06-08,81.23202514648438
2020-06-09,83.79717254638672
2020-06-10,85.95306396484375
2020-06-11,81.82640838623047
2020-06-12,82.53286743164062
2020-06-15,83.55355834960938
2020-06-16,85.7679214477539
2020-06-17,85.64854431152344
2020-06-18,85.68267059326172
2020-06-19,85.1930160522461
2020-06-22,87.42196655273438
2020-06-23,89.28800201416016
2020-06-24,87.71187591552734
2020-06-25,88.87628173828125
2020-06-26,86.1455078125
2020-06-29,88.13087463378906
2020-06-30,88.86653900146484
2020-07-01,88.69847106933594
2020-07-02,88.69847106933594
2020-07-06,91.0711441040039
2020-07-07,90.78858947753906
2020-07-08,92.90309143066406
2020-07-09,93.30258178710938
2020-07-10,93.46578216552734
2020-07-13,93.03462219238281
2020-07-14,94.57418823242188
2020-07-15,95.22462463378906
2020-07-16,94.05287170410156
2020-07-17,93.86286163330078
2020-07-20,95.84092712402344
2020-07-21,94.51815795898438
2020-07-22,94.78368377685547
2020-07-23,90.469482421875
2020-07-24,90.24534606933594
2020-07-27,92.38418579101562
2020-07-28,90.8665542602539
2020-07-29,92.6082992553711
2020-07-30,93.72888946533203
2020-07-31,103.5412368774414
2020-08-03,106.15021514892578
2020-08-04,106.8591079711914
2020-08-05,107.24645233154297
2020-08-06,110.98818969726562
