bigram,frequency,probability
on,1665699,0.01783829
er,1589641,0.01702377
re,1376242,0.01473844
in,1300500,0.01392731
en,1253765,0.01342681
al,1239494,0.01327398
di,1214915,0.01301076
co,1203221,0.01288553
an,1161224,0.01243577
to,1155696,0.01237657
ri,1127073,0.01207005
el,1126145,0.01206011
at,1097299,0.01175119
es,1089601,0.01166875
ti,1087274,0.01164383
te,1086509,0.01163564
ar,1084991,0.01161938
la,1064231,0.01139706
ta,1058416,0.01133478
nt,1050553,0.01125058
io,1044038,0.01118081
ia,1034907,0.01108302
ra,995601,0.01066209
or,965652,0.01034136
ic,964300,0.01032688
li,962114,0.01030347
le,918745,0.00983902
de,915183,0.00980088
ne,911995,0.00976673
st,880288,0.00942718
no,837829,0.00897248
ll,831816,0.00890808
is,806302,0.00863485
ed,748190,0.00801252
il,738087,0.00790432
it,736815,0.0078907
si,729147,0.00780858
na,721132,0.00772275
ro,714055,0.00764696
ol,713727,0.00764345
os,701483,0.00751232
ca,701088,0.00750809
as,695754,0.00745097
tt,681388,0.00729712
ni,660336,0.00707167
pe,642781,0.00688367
me,640662,0.00686098
od,608947,0.00652134
ma,597969,0.00640377
ac,594271,0.00636417
ch,591100,0.00633021
ad,586987,0.00628616
am,584676,0.00626141
tr,581700,0.00622954
se,576821,0.00617729
ec,564063,0.00604067
pr,553868,0.00593149
et,552741,0.00591942
un,547538,0.0058637
ie,516147,0.00552752
ci,513293,0.00549696
om,511328,0.00547592
so,509581,0.00545721
zi,508476,0.00544537
da,502161,0.00537775
id,494522,0.00529594
ea,491501,0.00526359
ap,478656,0.00512603
oc,476163,0.00509933
ss,472846,0.00506381
nd,465873,0.00498913
im,464689,0.00497645
po,456561,0.00488941
lo,445284,0.00476864
ei,443999,0.00475488
op,430940,0.00461503
he,427429,0.00457743
ve,424438,0.0045454
gi,410468,0.00439579
mo,405173,0.00433908
sa,391684,0.00419463
ce,387440,0.00414918
do,385907,0.00413276
vi,381467,0.00408521
pa,378021,0.00404831
em,374260,0.00400803
ip,370905,0.0039721
ag,368149,0.00394259
ep,361462,0.00387097
mi,360779,0.00386366
ot,353704,0.00378789
sc,351253,0.00376164
nc,344012,0.0036841
iv,343472,0.00367832
rt,339126,0.00363177
eg,329564,0.00352937
oa,321568,0.00344374
oi,317189,0.00339685
ai,316983,0.00339464
qu,306978,0.0032875
tu,288731,0.00309208
az,288303,0.0030875
ut,287865,0.00308281
ir,287855,0.0030827
pi,287157,0.00307523
av,287062,0.00307421
va,287030,0.00307387
lt,278700,0.00298466
su,272374,0.00291691
ur,265918,0.00284778
bi,253643,0.00271632
ov,252733,0.00270658
ig,250714,0.00268495
ns,248540,0.00266167
fi,247915,0.00265498
og,242252,0.00259433
sp,239911,0.00256926
mp,234350,0.00250971
ee,233803,0.00250385
gl,227309,0.00243431
cc,226610,0.00242682
aa,223917,0.00239798
za,220683,0.00236335
ua,219693,0.00235274
nn,219074,0.00234611
vo,214770,0.00230002
ev,213064,0.00228175
ue,205984,0.00220593
rs,204175,0.00218656
ab,201745,0.00216054
ge,199182,0.00213309
hi,197720,0.00211743
nz,195956,0.00209854
ii,190848,0.00204384
if,189699,0.00203153
ng,188255,0.00201607
iz,182109,0.00195025
fa,181632,0.00194514
rc,180489,0.0019329
lu,176309,0.00188814
fo,174216,0.00186572
ae,173727,0.00186049
iu,173716,0.00186037
af,172906,0.00185169
oe,171588,0.00183758
us,168652,0.00180614
ul,166478,0.00178285
ba,166116,0.00177898
uo,165655,0.00177404
nu,165240,0.0017696
ga,164760,0.00176446
zz,163368,0.00174955
au,163190,0.00174764
lc,162873,0.00174425
rm,161989,0.00173478
gg,161812,0.00173289
ib,161670,0.00173136
gr,160304,0.00171674
ef,151522,0.00162269
cu,150337,0.00161
fe,148643,0.00159186
ui,147656,0.00158129
of,147007,0.00157434
rr,146908,0.00157328
eu,145802,0.00156143
pp,143140,0.00153292
be,143018,0.00153162
rn,142850,0.00152982
ha,140633,0.00150608
tà,133874,0.00143369
rd,132736,0.00142151
ou,131609,0.00140944
gn,131562,0.00140893
eo,130458,0.00139711
eb,127940,0.00137014
go,126455,0.00135424
lp,125601,0.0013451
du,124712,0.00133557
lm,120913,0.00129489
ob,118907,0.00127341
br,115357,0.00123539
cr,113349,0.00121389
ru,112837,0.0012084
pu,111334,0.00119231
rl,109877,0.0011767
ls,107948,0.00115605
mm,107910,0.00115564
ff,107889,0.00115541
oo,102553,0.00109827
mb,102525,0.00109797
nf,101852,0.00109076
bb,97289,0.0010419
bo,94824,0.0010155
np,93347,0.00099968
ez,92395,0.00098949
ho,91282,0.00097757
gu,90125,0.00096518
um,89967,0.00096348
fr,86188,0.00092301
uc,84104,0.0009007
ld,78430,0.00083993
rg,78367,0.00083926
bl,77713,0.00083225
pl,76865,0.00082317
nv,76486,0.00081911
mu,74685,0.00079983
nl,73848,0.00079086
cl,70084,0.00075055
rp,68243,0.00073084
zo,67455,0.0007224
rv,66204,0.000709
eq,65248,0.00069876
th,65096,0.00069714
up,65068,0.00069684
ao,64030,0.00068572
iù,59409,0.00063623
dr,59125,0.00063319
ub,57108,0.00061159
bu,56960,0.00061001
ud,55043,0.00058948
nm,54363,0.00058219
aq,53322,0.00057105
lg,52139,0.00055838
fu,50155,0.00053713
eh,49404,0.00052909
ze,49304,0.00052802
sm,48737,0.00052194
lv,47448,0.00050814
ug,46394,0.00049685
iq,45381,0.000486
sh,44782,0.00047959
àd,44753,0.00047928
