bigram,frequency,probability
an,1273779,0.04312161
ng,706747,0.02392573
er,500573,0.01694606
en,449254,0.01520875
ka,447760,0.01515817
da,440685,0.01491866
in,434367,0.01470477
ar,431134,0.01459533
at,397534,0.01345786
di,384130,0.01300409
la,359648,0.01217529
ta,353827,0.01197823
me,333795,0.01130008
ya,332451,0.01125459
ga,327808,0.0110974
ra,327181,0.01107618
ak,326057,0.01103813
as,317372,0.01074411
al,316173,0.01070352
am,314711,0.01065403
ad,297983,0.01008773
ma,289810,0.00981105
pa,286125,0.0096863
sa,277289,0.00938717
ba,277114,0.00938125
na,268983,0.00910599
si,266790,0.00903175
se,265586,0.00899099
ah,253136,0.00856951
te,247598,0.00838203
nt,236896,0.00801974
nd,236565,0.00800853
pe,229268,0.0077615
is,228897,0.00774894
un,226417,0.00766499
ri,217335,0.00735753
be,217283,0.00735577
em,211704,0.00716691
ik,209935,0.00710702
ia,209683,0.00709849
ti,209432,0.00708999
ha,204652,0.00692817
tu,201496,0.00682133
ai,199473,0.00675285
ap,196399,0.00664878
it,196281,0.00664479
ny,181136,0.00613208
el,179622,0.00608082
ke,176723,0.00598268
li,175168,0.00593004
ni,167923,0.00568478
re,159740,0.00540775
uk,158619,0.0053698
ab,153975,0.00521259
on,152886,0.00517572
im,145290,0.00491857
es,142664,0.00482968
id,137808,0.00466528
ua,132511,0.00448596
ja,131537,0.00445299
mu,127526,0.00431721
il,127191,0.00430586
de,125097,0.00423498
or,121853,0.00412516
aa,121434,0.00411097
us,120696,0.00408599
bu,119071,0.00403098
ns,118169,0.00400044
ul,118125,0.00399895
eb,117426,0.00397529
ne,111454,0.00377312
ir,111210,0.00376486
st,109209,0.00369711
et,107930,0.00365382
mb,107275,0.00363164
bi,105251,0.00356312
rt,105237,0.00356265
le,104454,0.00353614
ru,103945,0.00351891
ag,103181,0.00349305
ur,101112,0.00342301
om,100531,0.00340334
gi,99262,0.00336038
mi,98636,0.00333918
ut,98294,0.00332761
mp,96675,0.0032728
su,96214,0.00325719
gu,96185,0.00325621
ay,93476,0.0031645
ku,93252,0.00315692
to,92886,0.00314453
ip,92276,0.00312388
ud,91484,0.00309707
um,90780,0.00307323
ek,88900,0.00300959
lu,87678,0.00296822
nk,87089,0.00294828
wa,86083,0.00291422
ca,85939,0.00290935
ro,85179,0.00288362
np,84062,0.00284581
ed,84048,0.00284533
ki,83980,0.00284303
ib,83852,0.0028387
nm,79150,0.00267952
co,76296,0.0025829
ol,74648,0.00252711
tp,74206,0.00251215
ko,73586,0.00249116
ih,72869,0.00246689
au,70941,0.00240162
rs,70499,0.00238666
ju,69985,0.00236925
nb,69749,0.00236127
ge,69660,0.00235825
ep,68410,0.00231594
up,68247,0.00231042
gk,67710,0.00229224
pu,67703,0.002292
hi,65278,0.00220991
nj,63961,0.00216532
pr,63730,0.0021575
du,63256,0.00214146
po,62132,0.0021034
tt,60327,0.0020423
gg,59900,0.00202784
tr,59603,0.00201779
ks,57743,0.00195482
nu,57516,0.00194714
lo,57077,0.00193228
ht,55287,0.00187168
no,54643,0.00184988
pi,54302,0.00183833
ot,54019,0.00182875
rb,53876,0.00182391
ly,53872,0.00182378
aj,53504,0.00181132
nc,53015,0.00179476
nn,51325,0.00173755
do,50490,0.00170929
os,50308,0.00170312
rm,50219,0.00170011
ac,48599,0.00164527
rk,48426,0.00163941
rd,48314,0.00163562
ea,47828,0.00161917
yo,47695,0.00161467
nl,46345,0.00156896
eh,46297,0.00156734
km,46262,0.00156615
ok,45723,0.00154791
gs,45373,0.00153606
io,44442,0.00150454
ec,44334,0.00150088
mo,43734,0.00148057
oc,43701,0.00147946
rp,43524,0.00147346
rg,43399,0.00146923
gb,43266,0.00146473
he,42949,0.001454
uh,42929,0.00145332
kt,42829,0.00144994
ub,42481,0.00143815
gd,41652,0.00141009
rn,41278,0.00139743
aw,40631,0.00137553
hu,38719,0.0013108
ts,38601,0.0013068
gm,38121,0.00129055
sp,37948,0.0012847
ce,37641,0.0012743
th,36887,0.00124878
eg,36809,0.00124614
ic,36682,0.00124184
so,36655,0.00124093
ew,36609,0.00123937
ve,36535,0.00123686
sm,35977,0.00121797
ob,35865,0.00121418
bo,35532,0.00120291
ho,34687,0.0011743
ll,34321,0.00116191
tk,34268,0.00116012
td,34218,0.00115842
ss,34067,0.00115331
gr,33457,0.00113266
od,33323,0.00112813
op,32613,0.00110409
sk,32465,0.00109908
ig,31569,0.00106875
hk,30746,0.00104089
eu,30568,0.00103486
tm,30480,0.00103188
fi,30438,0.00103046
go,30235,0.00102359
gt,30078,0.00101827
fo,30008,0.0010159
og,29698,0.00100541
hs,29690,0.00100514
hd,29560,0.00100074
ug,29085,0.00098466
rj,28912,0.0009788
rl,28561,0.00096692
if,28526,0.00096573
oa,28417,0.00096204
ie,28214,0.00095517
sd,28133,0.00095243
hm,27985,0.00094742
ij,27732,0.00093885
ii,27461,0.00092968
kd,27352,0.00092599
pd,27237,0.0009221
ry,26768,0.00090622
nh,26249,0.00088865
nf,26051,0.00088195
vi,25831,0.0008745
ld,25813,0.00087389
tb,25760,0.00087209
ci,25044,0.00084786
ls,24963,0.00084511
sh,24764,0.00083838
ch,24685,0.0008357
wi,24662,0.00083492
kb,24196,0.00081915
hb,23811,0.00080611
kp,23594,0.00079877
fa,23372,0.00079125
gh,23253,0.00078722
gp,22404,0.00075848
pl,22390,0.00075801
ms,22355,0.00075682
kk,22030,0.00074582
af,21926,0.0007423
lm,21811,0.00073841
va,21740,0.000736
ji,21654,0.00073309
lp,21476,0.00072707
ou,21350,0.0007228
hp,21314,0.00072158
je,21291,0.0007208
tn,21241,0.00071911
rc,20539,0.00069535
pt,20388,0.00069023
sb,20163,0.00068262
df,20111,0.00068086
lk,19920,0.00067439
kh,19511,0.00066054
fe,19434,0.00065794
ej,19409,0.00065709
rh,19308,0.00065367
fh,19137,0.00064788
gn,19097,0.00064653
mm,19063,0.00064538
we,19056,0.00064514
ps,19038,0.00064453
kl,18863,0.00063861
ui,18778,0.00063573
lt,18724,0.0006339
iu,18696,0.00063295
eo,18477,0.00062554
of,18380,0.00062226
ee,18322,0.00062029
oo,18285,0.00061904
ye,18205,0.00061633
cu,18126,0.00061366
ue,18078,0.00061203
kn,17889,0.00060563
gl,17832,0.00060371
ei,17752,0.000601
ow,17651,0.00059758
iy,17589,0.00059548
sy,17445,0.0005906
nr,16900,0.00057215
md,16771,0.00056779
ct,15865,0.00053712
ae,15845,0.00053644
ao,15798,0.00053485
lb,15630,0.00052916
wp,15399,0.00052134
rf,15334,0.00051914
iv,15250,0.0005163
sl,15198,0.00051454
sc,15147,0.00051281
ef,15145,0.00051274
bl,15136,0.00051244
ty,14766,0.00049991
uj,14704,0.00049781
sn,14626,0.00049517
ev,14543,0.00049236
kr,14465,0.00048972
br,14299,0.0004841
pp,13933,0.00047171
ov,13831,0.00046826
rr,13620,0.00046112
dr,13554,0.00045888
mr,13442,0.00045509
mk,13060,0.00044216
oi,12852,0.00043512
oh,12731,0.00043102
fr,12435,0.000421
iw,12417,0.00042039
ey,12251,0.00041477
ex,12231,0.00041409
mh,12038,0.00040756
ck,11967,0.00040516
ml,11905,0.00040306
tl,11885,0.00040238
bs,11278,0.00038183
hl,11195,0.00037902
ds,11177,0.00037841
pk,11017,0.000373
gj,10998,0.00037235
av,10981,0.00037178
tc,10870,0.00036802
uc,10544,0.00035698
ft,10432,0.00035319
nv,10397,0.00035201
hn,10380,0.00035143
sw,10266,0.00034757
ph,10243,0.00034679
dh,10232,0.00034642
hw,10189,0.00034496
pm,10172,0.00034439
jo,10170,0.00034432
gy,10147,0.00034354
yi,10044,0.00034006
ln,9787,0.00033136
hy,9780,0.00033112
lh,9771,0.00033081
hr,9692,0.00032814
qv,9589,0.00032465
ky,9570,0.00032401
cr,9552,0.0003234
bb,9538,0.00032293
dd,9442,0.00031968
mt,9424,0.00031907
yu,9188,0.00031108
rw,9185,0.00031098
nw,9094,0.0003079
fu,8947,0.00030292
ys,8759,0.00029655
wo,8591,0.00029087
pn,8577,0.00029039
pg,8536,0.00028901
mn,8364,0.00028318
pb,8360,0.00028305
by,8279,0.00028031
dm,7930,0.00026849
sr,7901,0.00026751
gc,7453,0.00025234
uy,7430,0.00025156
tw,7207,0.00024401
sj,7123,0.00024117
ff,7011,0.00023738
dp,6922,0.00023437
tj,6791,0.00022993
hh,6765,0.00022905
fl,6751,0.00022858
oy,6744,0.00022834
rv,6743,0.00022831
vg,6688,0.00022644
sf,6674,0.00022597
lc,6673,0.00022594
my,6658,0.00022543
uw,6657,0.0002254
db,6539,0.0002214
dt,6460,0.00021873
bd,6384,0.00021615
cl,6349,0.00021497
kj,6282,0.0002127
wn,6250,0.00021162
sg,6132,0.00020762
jr,6038,0.00020444
hc,5745,0.00019452
tf,5714,0.00019347
lr,5687,0.00019256
yl,5685,0.00019249
hj,5673,0.00019208
fv,5668,0.00019191
az,5663,0.00019174
gf,5654,0.00019144
za,5545,0.00018775
tg,5525,0.00018707
yg,5487,0.00018579
mf,5463,0.00018497
lg,5432,0.00018392
kg,5383,0.00018227
bp,5377,0.00018206
uu,5368,0.00018176
lf,5354,0.00018128
yb,5300,0.00017946
iz,5299,0.00017942
fg,5218,0.00017668
yp,5163,0.00017482
ws,5093,0.00017245
qu,5086,0.00017221
tv,5061,0.00017137
ym,4963,0.00016805
bk,4892,0.00016564
rq,4868,0.00016483
yd,4826,0.00016341
yn,4821,0.00016324
dl,4806,0.00016273
kc,4743,0.0001606
ax,4729,0.00016013
vo,4672,0.0001582
dw,4639,0.00015708
yt,4604,0.00015589
lj,4597,0.00015566
aq,4520,0.00015305
xm,4503,0.00015248
uo,4466,0.00015122
dg,4435,0.00015017
yc,4430,0.00015
bt,4375,0.00014814
lv,4329,0.00014658
vf,4312,0.00014601
mg,4309,0.00014591
bm,4280,0.00014493
bn,4159,0.00014083
dk,4155,0.00014069
dc,4147,0.00014042
oe,4131,0.00013988
dy,4122,0.00013958
hg,4112,0.00013924
kw,4037,0.0001367
ww,4033,0.00013656
cc,4029,0.00013643
yy,3953,0.00013386
vs,3948,0.00013369
wh,3926,0.00013294
pc,3890,0.00013172
gv,3886,0.00013159
px,3860,0.00013071
ze,3803,0.00012878
oj,3781,0.00012803
mc,3687,0.00012485
bh,3659,0.0001239
uv,3600,0.00012191
uf,3593,0.00012167
py,3563,0.00012065
yr,3558,0.00012048
cs,3523,0.0001193
mj,3498,0.00011845
xt,3435,0.00011632
yv,3419,0.00011578
nq,3377,0.00011436
gw,3366,0.00011398
dn,3345,0.00011327
xi,3325,0.0001126
zi,3288,0.00011134
fd,3285,0.00011124
hf,3280,0.00011107
mw,3254,0.00011019
xp,3196,0.00010823
wu,3160,0.00010701
cn,3160,0.00010701
lw,3116,0.00010552
sv,3108,0.00010525
yf,3055,0.00010346
pj,3050,0.00010329
bc,3041,0.00010298
dj,3039,0.00010291
yw,3036,0.00010281
oq,3025,0.00010244
bj,3004,0.00010173
bz,2992,0.00010132
vr,2920,9.889e-05
cb,2912,9.861e-05
fc,2904,9.834e-05
fn,2889,9.784e-05
fb,2880,9.753e-05
fs,2878,9.746e-05
fp,2836,9.604e-05
bg,2814,9.53e-05
cm,2770,9.381e-05
vp,2656,8.995e-05
kf,2643,8.951e-05
yh,2617,8.863e-05
dv,2566,8.69e-05
zr,2560,8.67e-05
ix,2518,8.528e-05
ez,2504,8.48e-05
iq,2407,8.152e-05
nz,2382,8.067e-05
fm,2337,7.915e-05
cy,2320,7.857e-05
cd,2306,7.81e-05
vn,2298,7.783e-05
vb,2255,7.637e-05
xr,2238,7.58e-05
fy,2216,7.505e-05
ox,2207,7.475e-05
zn,2182,7.39e-05
cp,2171,7.353e-05
oz,2135,7.231e-05
zh,2114,7.16e-05
zo,2111,7.15e-05
pw,2068,7.004e-05
yj,1963,6.649e-05
qo,1952,6.612e-05
eq,1949,6.601e-05
pv,1921,6.507e-05
fk,1882,6.375e-05
jv,1868,6.327e-05
yk,1852,6.273e-05
xa,1834,6.212e-05
xs,1795,6.08e-05
wr,1731,5.863e-05
xd,1700,5.758e-05
xc,1691,5.728e-05
vq,1690,5.725e-05
wt,1685,5.708e-05
wm,1651,5.593e-05
xe,1634,5.535e-05
zu,1613,5.464e-05
wk,1601,5.423e-05
zv,1601,5.423e-05
cv,1599,5.417e-05
xy,1597,5.41e-05
kv,1583,5.362e-05
xx,1582,5.359e-05
pf,1571,5.322e-05
qf,1559,5.281e-05
fj,1550,5.251e-05
qb,1533,5.193e-05
bf,1499,5.078e-05
qr,1481,5.017e-05
vz,1455,4.929e-05
wb,1443,4.888e-05
hq,1432,4.851e-05
rz,1430,4.844e-05
wc,1401,4.746e-05
tz,1388,4.702e-05
jb,1379,4.672e-05
qq,1371,4.645e-05
nx,1362,4.614e-05
hv,1360,4.607e-05
sq,1302,4.411e-05
wd,1295,4.387e-05
xv,1293,4.381e-05
qn,1286,4.357e-05
lq,1285,4.354e-05
uz,1277,4.326e-05
xb,1260,4.269e-05
xf,1234,4.181e-05
hz,1182,4.005e-05
js,1177,3.988e-05
zc,1165,3.947e-05
mv,1160,3.93e-05
vy,1158,3.924e-05
qi,1140,3.863e-05
vd,1127,3.819e-05
vc,1123,3.805e-05
xl,1102,3.734e-05
jp,1061,3.595e-05
qg,1029,3.487e-05
zb,1023,3.467e-05
xh,1009,3.419e-05
wl,1009,3.419e-05
qj,999,3.385e-05
rx,992,3.362e-05
ux,965,3.27e-05
bw,943,3.196e-05
zz,941,3.189e-05
sx,940,3.186e-05
qh,937,3.175e-05
jl,918,3.111e-05
vx,911,3.087e-05
tx,895,3.033e-05
vm,893,3.026e-05
fw,891,3.02e-05
xu,889,3.013e-05
vj,880,2.982e-05
xg,876,2.969e-05
cf,871,2.952e-05
qs,865,2.932e-05
bv,861,2.918e-05
mx,851,2.884e-05
tq,846,2.867e-05
xn,844,2.861e-05
xo,842,2.854e-05
jm,838,2.84e-05
zm,824,2.793e-05
hx,813,2.756e-05
jn,810,2.745e-05
cw,806,2.732e-05
zj,806,2.732e-05
wy,804,2.725e-05
wf,802,2.718e-05
fq,794,2.691e-05
jk,772,2.617e-05
cj,772,2.617e-05
jf,762,2.583e-05
vl,757,2.566e-05
wg,756,2.563e-05
yq,755,2.559e-05
vt,752,2.549e-05
cg,742,2.515e-05
