bigram,frequency,probability
นจ,71744,0.00108574
ลิ,70631,0.0010689
ำห,70234,0.00106289
รู,70156,0.00106171
โร,69690,0.00105466
ดย,69647,0.00105401
าะ,69389,0.0010501
ะก,68700,0.00103968
งร,68690,0.00103953
สั,68280,0.00103332
ิเ,67857,0.00102692
นิ,67521,0.00102183
ชา,67462,0.00102094
พิ,67348,0.00101922
รก,67099,0.00101545
ดู,66748,0.00101014
นโ,66430,0.00100532
ลี,66252,0.00100263
มช,66146,0.00100103
อั,65856,0.00099664
งน,65830,0.00099624
แบ,65546,0.00099195
สี,65382,0.00098946
ยง,65065,0.00098467
ทร,65007,0.00098379
สร,64568,0.00097715
าช,64378,0.00097427
ลื,64356,0.00097394
ดล,64212,0.00097176
โป,64194,0.00097149
งป,64082,0.00096979
นข,63952,0.00096782
สด,63919,0.00096732
งบ,63533,0.00096148
ค้,63114,0.00095514
วก,63018,0.00095369
ยู,62965,0.00095289
กษ,62945,0.00095258
ีส,62795,0.00095031
วเ,62410,0.00094449
บก,62223,0.00094166
กก,62120,0.0009401
งข,62076,0.00093943
ึง,61754,0.00093456
เน,61672,0.00093332
าแ,61600,0.00093223
บั,61094,0.00092457
ุ่,60912,0.00092182
กว,60834,0.00092064
กท,60815,0.00092035
มก,60760,0.00091952
งม,60756,0.00091946
รส,60479,0.00091527
งจ,59957,0.00090737
วม,59516,0.00090069
ุก,59488,0.00090027
มอ,59229,0.00089635
ใจ,58761,0.00088927
งอ,58414,0.00088401
ดั,58049,0.00087849
สน,57688,0.00087303
ะส,57155,0.00086496
ษา,56929,0.00086154
ัต,56597,0.00085652
สู,56559,0.00085594
ิว,56235,0.00085104
าล,56160,0.0008499
ว็,56040,0.00084809
ีค,55883,0.00084571
ึ่,55867,0.00084547
คล,55442,0.00083904
ค่,55163,0.00083482
กอ,55040,0.00083295
งต,54858,0.0008302
อส,54702,0.00082784
แร,54613,0.00082649
้ม,54286,0.00082154
ีว,54170,0.00081979
ทุ,54153,0.00081953
าไ,54127,0.00081914
้ำ,54101,0.00081874
กค,54051,0.00081799
บค,53985,0.00081699
ยม,53943,0.00081635
วง,53804,0.00081425
น่,53687,0.00081248
รแ,53629,0.0008116
นป,53617,0.00081142
มท,53380,0.00080783
มน,53243,0.00080576
ยั,53203,0.00080515
โน,53147,0.00080431
ยอ,53138,0.00080417
มร,53132,0.00080408
ุต,53071,0.00080316
่ต,53003,0.00080213
มค,52867,0.00080007
ีท,52805,0.00079913
ดส,52801,0.00079907
โม,52729,0.00079798
์ท,52541,0.00079514
บน,52449,0.00079374
ะห,52435,0.00079353
ะท,52150,0.00078922
เจ,51363,0.00077731
ิโ,51338,0.00077693
ำเ,51331,0.00077683
บท,51086,0.00077312
ท่,50847,0.0007695
่ไ,50821,0.00076911
กส,50604,0.00076582
าอ,50372,0.00076231
ชี,50306,0.00076131
นพ,50230,0.00076016
รุ,50204,0.00075977
ัย,50131,0.00075867
จร,49779,0.00075334
บี,49768,0.00075317
จก,49552,0.0007499
ตบ,49112,0.00074324
าบ,48833,0.00073902
าใ,48786,0.00073831
ยร,48692,0.00073689
จำ,48551,0.00073475
ยท,48431,0.00073294
รค,48277,0.00073061
กแ,48246,0.00073014
รโ,48096,0.00072787
รท,47852,0.00072418
ย์,47594,0.00072027
ทด,47492,0.00071873
ต์,47157,0.00071366
แท,46866,0.00070925
ลเ,46657,0.00070609
ก่,46394,0.00070211
แก,46361,0.00070161
หว,46067,0.00069716
ึก,45970,0.0006957
ะไ,45948,0.00069536
แจ,45739,0.0006922
แน,45683,0.00069135
พล,45648,0.00069082
รณ,45532,0.00068907
่จ,45371,0.00068663
ัญ,45347,0.00068627
ฟุ,45304,0.00068562
้ส,45125,0.00068291
บ้,45039,0.00068161
ลก,44684,0.00067623
ยส,44633,0.00067546
ะม,44603,0.00067501
ตฟ,44512,0.00067363
ีแ,44449,0.00067268
บส,44365,0.00067141
ดอ,44271,0.00066998
ลย,44132,0.00066788
อี,44082,0.00066712
รพ,43943,0.00066502
สอ,43748,0.00066207
วร,43556,0.00065916
ึ้,43553,0.00065912
ลด,43367,0.0006563
งพ,43341,0.00065591
ะบ,43297,0.00065524
ยแ,43286,0.00065508
ทะ,43123,0.00065261
วล,43088,0.00065208
มแ,42907,0.00064934
ดก,42671,0.00064577
้ร,42438,0.00064224
คื,42393,0.00064156
ยใ,42315,0.00064038
้ก,42140,0.00063773
ีน,41986,0.0006354
ชน,41981,0.00063533
ลส,41831,0.00063306
งว,41686,0.00063086
ยค,41622,0.0006299
ขึ,41552,0.00062884
ปี,41537,0.00062861
์ส,41505,0.00062812
ะค,41460,0.00062744
ีม,41015,0.00062071
ิจ,41012,0.00062066
่ก,40571,0.00061399
มิ,40552,0.0006137
เซ,40518,0.00061319
กต,40333,0.00061039
ถึ,40288,0.00060971
็ก,40278,0.00060956
่ใ,40254,0.00060919
นะ,40172,0.00060795
นช,39771,0.00060188
้ค,39741,0.00060143
นย,39478,0.00059745
ำน,39464,0.00059724
าข,39377,0.00059592
แม,39374,0.00059588
คม,39325,0.00059513
ดท,39220,0.00059355
ปิ,39023,0.00059056
มห,38823,0.00058754
นล,38560,0.00058356
์แ,38540,0.00058325
มต,38506,0.00058274
ะด,38429,0.00058157
้ท,38158,0.00057747
รบ,38115,0.00057682
ดา,38109,0.00057673
บไ,38064,0.00057605
ส์,38039,0.00057567
ดต,37783,0.0005718
มด,37591,0.00056889
ผ่,37278,0.00056416
งด,37263,0.00056393
ะแ,36970,0.0005595
ดร,36881,0.00055815
ลู,36875,0.00055806
่ท,36839,0.00055751
ัส,36788,0.00055674
้แ,36781,0.00055663
นำ,36757,0.00055627
คอ,36587,0.0005537
งโ,36457,0.00055173
้ไ,36435,0.0005514
ทไ,36317,0.00054961
ุน,36308,0.00054948
แห,36252,0.00054863
ชื,36080,0.00054603
่ค,35883,0.00054305
นผ,35813,0.00054199
กำ,35737,0.00054084
ิท,35536,0.00053779
อค,35435,0.00053627
ทศ,35224,0.00053307
ถู,34960,0.00052908
ข่,34943,0.00052882
ซึ,34862,0.00052759
สต,34735,0.00052567
กี,34707,0.00052525
พา,34619,0.00052392
์ก,34498,0.00052209
จ้,34494,0.00052202
ุม,34401,0.00052062
ไห,34246,0.00051827
ไร,34037,0.00051511
ปั,33925,0.00051341
้ฟ,33790,0.00051137
่แ,33628,0.00050892
โล,33566,0.00050798
บแ,33516,0.00050722
ณ์,33472,0.00050656
มู,33458,0.00050635
ยบ,33254,0.00050326
ชิ,33203,0.00050249
ิ้,32976,0.00049905
ิธ,32835,0.00049692
ขั,32787,0.00049619
กไ,32674,0.00049448
ยิ,32625,0.00049374
สเ,32623,0.00049371
ตเ,32619,0.00049365
ดน,32271,0.00048838
สว,32231,0.00048778
ยไ,32213,0.00048751
กจ,32168,0.00048682
ท้,32026,0.00048468
ดว,31796,0.0004812
ูล,31783,0.000481
ดข,31739,0.00048033
รต,31702,0.00047977
กข,31609,0.00047837
ดแ,31405,0.00047528
็ด,31400,0.0004752
กน,31377,0.00047485
วอ,31355,0.00047452
าศ,31355,0.00047452
าโ,31073,0.00047025
ถา,31060,0.00047006
ยุ,30955,0.00046847
บุ,30928,0.00046806
้จ,30816,0.00046636
รจ,30792,0.000466
หญ,30768,0.00046564
ธี,30456,0.00046092
รป,30421,0.00046039
ะน,30387,0.00045987
ด็,30287,0.00045836
ห์,30060,0.00045492
ำใ,30046,0.00045471
ดง,30031,0.00045448
วด,29917,0.00045276
หั,29880,0.0004522
อิ,29797,0.00045094
มม,29723,0.00044982
แส,29708,0.0004496
่ด,29669,0.00044901
ซี,29657,0.00044882
กห,29537,0.00044701
วจ,29469,0.00044598
์บ,29452,0.00044572
ลว,29441,0.00044556
ตก,29397,0.00044489
ซื,29332,0.00044391
ยด,29303,0.00044347
์ม,29276,0.00044306
ีไ,29142,0.00044103
ม้,29130,0.00044085
นุ,29126,0.00044079
ีร,29004,0.00043894
้ใ,28971,0.00043844
สะ,28955,0.0004382
อ่,28912,0.00043755
อุ,28882,0.0004371
งช,28827,0.00043626
ธิ,28817,0.00043611
ะต,28763,0.0004353
ดใ,28756,0.00043519
งผ,28669,0.00043387
่ร,28624,0.00043319
ะจ,28481,0.00043103
สื,28433,0.0004303
ตล,28397,0.00042976
เย,28297,0.00042824
กใ,28183,0.00042652
อไ,28180,0.00042647
ฝา,28157,0.00042612
คิ,28122,0.0004256
ลบ,28114,0.00042547
ทอ,27952,0.00042302
คำ,27810,0.00042087
แอ,27744,0.00041987
าป,27661,0.00041862
ะช,27561,0.00041711
ขน,27376,0.00041431
ัค,27288,0.00041297
ปก,27244,0.00041231
ัพ,27213,0.00041184
์ต,27101,0.00041014
ชุ,26969,0.00040815
จอ,26916,0.00040734
์โ,26856,0.00040644
ีโ,26831,0.00040606
รใ,26746,0.00040477
ห็,26695,0.000404
