bigram,frequency,probability
رخ,19109,0.00095009
بې,18938,0.00094159
کن,18884,0.0009389
تک,18875,0.00093846
يب,18823,0.00093587
بي,18669,0.00092821
تې,18656,0.00092757
زو,18411,0.00091539
نډ,18168,0.00090331
چي,17902,0.00089008
هڅ,17887,0.00088934
مک,17844,0.0008872
يخ,17830,0.0008865
رګ,17633,0.00087671
مپ,17365,0.00086338
تم,17326,0.00086144
ېه,17279,0.00085911
یش,17172,0.00085379
وټ,17104,0.00085041
فر,17014,0.00084593
وځ,16984,0.00084444
حا,16942,0.00084235
نب,16789,0.00083475
یپ,16774,0.000834
کت,16763,0.00083345
فا,16725,0.00083156
طا,16721,0.00083137
سه,16681,0.00082938
وږ,16626,0.00082664
اغ,16448,0.00081779
شت,16358,0.00081332
مح,16334,0.00081213
زه,15978,0.00079443
سن,15840,0.00078757
وغ,15826,0.00078687
مع,15810,0.00078607
څو,15793,0.00078523
یب,15750,0.00078309
حم,15660,0.00077862
اح,15603,0.00077578
ېخ,15479,0.00076962
زي,15417,0.00076654
جا,15387,0.00076504
ړا,15356,0.0007635
بن,15225,0.00075699
حک,14878,0.00073974
سپ,14844,0.00073805
وژ,14802,0.00073596
مب,14700,0.00073089
ګه,14603,0.00072607
وڅ,14583,0.00072507
هز,14455,0.00071871
ښا,14260,0.00070901
یچ,14221,0.00070707
هج,14115,0.0007018
قو,13929,0.00069256
یی,13911,0.00069166
نم,13827,0.00068749
اق,13637,0.00067804
عم,13635,0.00067794
ټر,13573,0.00067486
ېچ,13564,0.00067441
شم,13549,0.00067366
ټا,13493,0.00067088
اا,13435,0.000668
څه,13375,0.00066501
ېش,13346,0.00066357
هډ,13343,0.00066342
دج,13275,0.00066004
اج,13253,0.00065895
ډی,13224,0.00065751
ډې,13065,0.0006496
دف,12953,0.00064403
تپ,12677,0.00063031
دش,12564,0.00062469
ښو,12482,0.00062062
هګ,12472,0.00062012
رز,12431,0.00061808
جن,12348,0.00061395
غل,12311,0.00061211
نۍ,12099,0.00060157
ژو,12063,0.00059978
ګا,12060,0.00059964
ځي,12031,0.00059819
يز,12010,0.00059715
پي,11995,0.0005964
ګړ,11983,0.00059581
دع,11949,0.00059412
نړ,11929,0.00059312
رش,11743,0.00058388
هع,11720,0.00058273
یږ,11711,0.00058228
ېږ,11694,0.00058144
ېی,11662,0.00057985
وج,11637,0.00057861
هځ,11526,0.00057309
جر,11492,0.0005714
رڅ,11259,0.00055981
لګ,11160,0.00055489
نش,11146,0.00055419
شن,11109,0.00055235
ړل,10971,0.00054549
وع,10928,0.00054336
هې,10838,0.00053888
چی,10768,0.0005354
زې,10678,0.00053093
نر,10592,0.00052665
يش,10579,0.000526
ږد,10577,0.00052591
ېښ,10399,0.00051706
لچ,10386,0.00051641
سک,10379,0.00051606
اص,10266,0.00051044
لخ,10221,0.00050821
ډا,10104,0.00050239
رغ,9962,0.00049533
ښه,9776,0.00048608
نج,9764,0.00048549
یخ,9711,0.00048285
تب,9692,0.00048191
مړ,9644,0.00047952
صل,9636,0.00047912
صا,9523,0.0004735
اچ,9518,0.00047326
ېز,9268,0.00046083
هټ,9250,0.00045993
عر,9103,0.00045262
پې,9025,0.00044874
فو,8988,0.00044691
هح,8974,0.00044621
ېڅ,8959,0.00044546
وډ,8951,0.00044507
وق,8931,0.00044407
دح,8899,0.00044248
رح,8884,0.00044173
تح,8843,0.0004397
شی,8842,0.00043965
ډل,8778,0.00043646
نظ,8776,0.00043637
زد,8751,0.00043512
سټ,8739,0.00043453
تع,8706,0.00043289
تخ,8692,0.00043219
يځ,8691,0.00043214
خد,8669,0.00043105
ړۍ,8650,0.0004301
دق,8290,0.0004122
ټک,8253,0.00041036
رف,8245,0.00040997
یټ,8162,0.00040584
عب,8110,0.00040325
۰۰,8105,0.00040301
وف,8098,0.00040266
تړ,8045,0.00040002
وح,8030,0.00039928
سد,8024,0.00039898
يع,8010,0.00039828
حق,7948,0.0003952
مم,7947,0.00039515
دټ,7894,0.00039251
ټی,7883,0.00039197
ښې,7827,0.00038918
ړن,7823,0.00038899
فی,7803,0.00038799
حد,7785,0.0003871
پښ,7749,0.00038531
لف,7717,0.00038372
جم,7705,0.00038312
صو,7701,0.00038292
ځک,7678,0.00038178
سب,7672,0.00038148
شپ,7641,0.00037994
دښ,7626,0.00037919
ېټ,7617,0.00037874
نټ,7590,0.0003774
نز,7588,0.0003773
رۍ,7498,0.00037283
یي,7466,0.00037124
هښ,7434,0.00036965
فت,7399,0.00036791
شه,7393,0.00036761
عت,7362,0.00036607
رټ,7329,0.00036442
پن,7326,0.00036428
اټ,7307,0.00036333
يح,7298,0.00036288
بت,7269,0.00036144
يج,7228,0.0003594
دګ,7187,0.00035737
دز,7150,0.00035553
لۍ,7138,0.00035493
اډ,7108,0.00035344
یف,7080,0.00035205
مق,7032,0.00034966
ېډ,6975,0.00034683
رر,6973,0.00034673
ۍد,6968,0.00034648
بک,6935,0.00034484
هف,6928,0.00034449
قر,6923,0.00034424
ځی,6911,0.00034364
خی,6891,0.00034265
طر,6883,0.00034225
رج,6874,0.0003418
ېي,6840,0.00034011
زن,6834,0.00033982
عو,6809,0.00033857
هق,6775,0.00033688
قت,6759,0.00033609
زر,6749,0.00033559
غې,6732,0.00033474
اګ,6706,0.00033345
ښک,6692,0.00033276
ۍپ,6655,0.00033092
قی,6654,0.00033087
ائ,6644,0.00033037
يټ,6629,0.00032962
ټه,6575,0.00032694
في,6574,0.00032689
جه,6537,0.00032505
رچ,6511,0.00032376
ځل,6506,0.00032351
یق,6483,0.00032236
يی,6463,0.00032137
دچ,6447,0.00032057
يف,6442,0.00032033
هك,6426,0.00031953
کښ,6407,0.00031859
تت,6336,0.00031506
چه,6336,0.00031506
قد,6325,0.00031451
ګل,6311,0.00031381
مج,6305,0.00031351
نف,6262,0.00031138
يږ,6251,0.00031083
ډي,6238,0.00031018
۲۰,6205,0.00030854
خې,6173,0.00030695
شک,6148,0.00030571
رښ,6091,0.00030288
ېج,6031,0.00029989
تص,6018,0.00029925
تش,5987,0.0002977
يق,5960,0.00029636
ګن,5959,0.00029631
يډ,5943,0.00029552
ګټ,5935,0.00029512
نخ,5915,0.00029413
سف,5890,0.00029288
کز,5873,0.00029204
پک,5871,0.00029194
جل,5864,0.00029159
ېغ,5861,0.00029144
بش,5860,0.00029139
پخ,5835,0.00029015
کټ,5829,0.00028985
اڼ,5813,0.00028905
عن,5774,0.00028712
ړک,5720,0.00028443
تس,5701,0.00028349
عد,5694,0.00028314
جګ,5655,0.0002812
عی,5640,0.00028045
ډه,5636,0.00028025
نگ,5577,0.00027732
یع,5559,0.00027643
ظا,5559,0.00027643
خي,5549,0.00027593
یښ,5536,0.00027528
ځې,5533,0.00027513
ژل,5498,0.00027339
نږ,5496,0.00027329
ۍک,5492,0.00027309
کد,5474,0.0002722
خک,5471,0.00027205
يښ,5460,0.0002715
يڅ,5444,0.00027071
مز,5392,0.00026812
یج,5366,0.00026683
وط,5360,0.00026653
غن,5329,0.00026499
ېح,5301,0.0002636
فک,5259,0.00026151
قي,5250,0.00026106
څر,5230,0.00026007
ژب,5230,0.00026007
نع,5218,0.00025947
لع,5207,0.00025893
ېځ,5203,0.00025873
۱۳,5167,0.00025694
ځه,5142,0.00025569
ګې,5135,0.00025535
څن,5122,0.0002547
رض,5103,0.00025376
رډ,5074,0.00025231
دى,5069,0.00025206
چو,5067,0.00025197
ړئ,5053,0.00025127
مچ,5047,0.00025097
تګ,5038,0.00025052
خر,5021,0.00024968
دط,5015,0.00024938
ړت,5000,0.00024863
تق,4981,0.00024769
خخ,4975,0.00024739
كو,4970,0.00024714
ګډ,4969,0.00024709
اط,4967,0.00024699
حر,4940,0.00024565
دځ,4938,0.00024555
ۍا,4936,0.00024545
ځن,4913,0.00024431
لح,4905,0.00024391
