bigram,frequency,probability
ах,79309,0.00072191
рж,77676,0.00070705
зу,77048,0.00070133
нц,76363,0.0006951
јн,73982,0.00067342
љи,73582,0.00066978
еф,72992,0.00066441
мб,72515,0.00066007
дв,72465,0.00065962
оц,72188,0.00065709
фо,71775,0.00065334
хр,70239,0.00063935
аљ,69058,0.0006286
аф,68932,0.00062746
мд,68331,0.00062199
рг,67394,0.00061346
тп,66907,0.00060902
мк,66652,0.0006067
ињ,65012,0.00059178
фе,64060,0.00058311
зд,64008,0.00058264
мр,63358,0.00057672
ха,62636,0.00057015
ђу,62452,0.00056847
рш,62344,0.00056749
оћ,61647,0.00056115
зл,61592,0.00056065
ађ,60836,0.00055376
зм,59948,0.00054568
вл,58600,0.00053341
рд,57946,0.00052746
чу,57362,0.00052214
лт,56218,0.00051173
ех,55684,0.00050687
иф,55310,0.00050346
цр,55240,0.00050283
ођ,54475,0.00049586
ђа,53386,0.00048595
дњ,53111,0.00048345
зг,52386,0.00047685
иљ,51629,0.00046996
ае,51392,0.0004678
мј,50505,0.00045973
ћу,49484,0.00045043
цу,49402,0.00044969
нг,49068,0.00044665
оа,49035,0.00044635
гп,49034,0.00044634
бн,48316,0.0004398
дл,48129,0.0004381
хп,47549,0.00043282
фа,46257,0.00042106
гд,45982,0.00041856
кц,45937,0.00041815
гс,45737,0.00041633
мт,45024,0.00040984
гн,44902,0.00040873
мм,44734,0.0004072
зр,44666,0.00040658
дм,44612,0.00040609
жн,44486,0.00040494
оф,44387,0.00040404
ух,44207,0.0004024
нп,42977,0.0003912
дб,42409,0.00038603
рз,42291,0.00038496
вс,42194,0.00038408
уц,42177,0.00038392
пш,41788,0.00038038
јт,41690,0.00037949
ие,40550,0.00036911
пт,39749,0.00036182
хв,39459,0.00035918
мљ,39418,0.00035881
мл,39114,0.00035604
иж,39043,0.00035539
нз,38848,0.00035362
дг,38684,0.00035213
хс,38674,0.00035204
јк,38608,0.00035144
дп,37596,0.00034222
шњ,37066,0.0003374
кн,36082,0.00032844
хе,35807,0.00032594
мв,35600,0.00032406
ее,34980,0.00031841
ћн,34931,0.00031797
нј,34348,0.00031266
јп,34251,0.00031178
хн,34208,0.00031138
шћ,33713,0.00030688
нф,33327,0.00030337
дј,32175,0.00029288
ох,31589,0.00028755
мз,31541,0.00028711
сј,31336,0.00028524
ху,31175,0.00028378
нн,30674,0.00027922
дд,30015,0.00027322
јв,29784,0.00027112
уе,29614,0.00026957
бј,29410,0.00026771
рх,29132,0.00026518
шу,29021,0.00026417
вј,28657,0.00026086
љн,28467,0.00025913
шн,28145,0.0002562
кљ,27739,0.0002525
рц,27643,0.00025163
дк,27517,0.00025048
хт,27476,0.00025011
кп,27185,0.00024746
сс,27030,0.00024605
лм,26959,0.0002454
рл,26592,0.00024206
тл,26371,0.00024005
рј,25874,0.00023553
фр,25867,0.00023546
лс,24809,0.00022583
км,24809,0.00022583
тм,24789,0.00022565
жу,24252,0.00022076
јм,23989,0.00021837
јб,23858,0.00021717
чл,23478,0.00021372
вд,23115,0.00021041
вк,22582,0.00020556
шл,22346,0.00020341
уњ,22290,0.0002029
гк,22103,0.0002012
мг,21987,0.00020014
фу,21734,0.00019784
ое,21637,0.00019696
тд,21443,0.00019519
уф,21345,0.0001943
гт,21287,0.00019377
хк,21072,0.00019182
нв,20927,0.0001905
тј,20790,0.00018925
хд,20783,0.00018918
гм,20597,0.00018749
дт,20581,0.00018735
сх,20501,0.00018662
жб,20426,0.00018594
цо,20236,0.00018421
пљ,20065,0.00018265
пн,20010,0.00018215
оњ,19709,0.00017941
сц,19660,0.00017896
чо,19651,0.00017888
књ,19324,0.0001759
зп,19288,0.00017558
нм,18951,0.00017251
хм,18346,0.000167
вц,18026,0.00016409
лк,17970,0.00016358
јд,17842,0.00016241
бк,17703,0.00016115
џе,17663,0.00016079
нр,17397,0.00015836
кк,17187,0.00015645
гв,17124,0.00015588
зс,16957,0.00015436
тх,16774,0.00015269
ть,16717,0.00015217
тз,16462,0.00014985
кј,16225,0.0001477
